,text,classification
611,"Oamaru locomotive dump was created in New Zealand so that obsolete locomotives and rolling stock could be used to stabilize loose ground where rivers and the coast were eroding the ground where the railway lines were built. This was done at a time when scrap steel was an uneconomic proposition. It was located on the coastline in the North Otago town of Oamaru to stabilise land used by New Zealand Railways for their freight yards. Here the coastline of the Pacific Ocean pounded heavily against the land causing major erosion. Oamaru locomotive dumpsite
By 1930, New Zealand Railways was facing issues with erosion of the Oamaru railway yard by breakers from the Pacific Ocean. Despite the construction of a mole to make the Oamaru harbour more suitable for shipping, this provided no protection for the railway land. As NZR had withdrawn a number of obsolete steam locomotives and scrap prices were low, the decision was made to dump some of these locomotives at Oamaru as erosion control.",0
741,"Norwood Russell Hanson (August 17, 1924 – April 18, 1967) was an American philosopher of science. Hanson was a pioneer in advancing the argument that observation is theory-laden — that observation language and theory language are deeply interwoven — and that historical and contemporary comprehension are similarly deeply interwoven. His single most central intellectual concern was the comprehension and development of a logic of discovery. Work
Hanson's best-known work is Patterns of Discovery (1958), in which he argues that what we see and perceive is not what our senses receive, but is instead filtered sensory information, where the filter is our existing preconceptions – a concept later called a 'thematic framework.' He cited optical illusions such as the famous old Parisienne woman (Patterns of Discovery, p. 11), which can be seen in different ways. Hanson drew a distinction between 'seeing as' and 'seeing that' which became a key idea in evolving theories of perception and meaning. He wanted to formulate a logic explaining how scientific discoveries take place. He used Charles Sanders Peirce's notion of abduction for this.",0
768,"""Everything's Eventual"" is a  fantasy  novella  by American writer Stephen King. It was originally published in the October/November 1997 issue of The Magazine of Fantasy & Science Fiction. In 2000, it was included in the game Stephen King's F13, and in 2002,  in King's collection of the same name. Plot summary
Richard ""Dinky"" Earnshaw, a 19-year-old high school dropout, explains that he's got a good job in which he gets his own house, car, and virtually anything he asks for — including CDs that have not been released yet. He also gets a small weekly cash allowance, provided he doesn't look for the people who drop it through his mail slot and that he gets rid of any money left over at the end of the week; he dumps his excess change into the gutter by his house and he puts his bills in the garbage disposal. ",0
1689," located in the city of Edinburgh, Scotland. It opened its doors to the public for the first time in 1887 and quickly became a popular destination for visitors interested in Scottish art history. Over the years, it has hosted many notable artists such as William McTaggart, John Everett Millais, and Francis Bacon. The gallery was also known for hosting special exhibitions that showcased works by lesser-known or overlooked artists of its time. Today, the Macbeth Gallery is a popular tourist attraction in Edinburgh's Old Town area where visitors can learn about Scottish art history through exhibits, lectures, and workshops offered throughout the year.",1
767,"A prince-bishop is a bishop who is also the civil ruler of some secular principality and sovereignty. The principality or prince-bishopric (Hochstift) ruled politically by a prince-bishop could wholly or largely overlap with his diocesan jurisdiction, but some parts of his diocese, even the city of his residence, could be exempt from his civil rule, obtaining the status of free imperial city. If the episcopal see is an archbishop, the correct term is prince-archbishop; the equivalent in the regular (monastic) clergy is prince-abbot. A prince-bishop is usually considered an elected monarch. In the West, with the decline of imperial power from the 4th century onwards in the face of the barbarian invasions, sometimes Christian bishops of cities took the place of the Roman commander, made secular decisions for the city and led their own troops when necessary. Later relations between a prince-bishop and the burghers were invariably not cordial. As cities demanded charters from emperors, kings, or their prince-bishops and declared themselves independent of the secular territorial magnates, friction intensified between burghers and bishops.",0
838,"Blake Aaron Ross (born June 12, 1985) is an American software engineer who is best known for his work as the co-creator of the Mozilla Firefox internet browser with Dave Hyatt. In 2005, he was nominated for Wired magazine's top Rave Award, Renegade of the Year, opposite Larry Page, Sergey Brin and Jon Stewart. He was also a part of Rolling Stone magazine's 2005 hot list. From 2007, he worked for Facebook as Director of Product until resigning in early 2013. In 2015, he wrote a fan fiction original screenplay for the HBO television comedy series Silicon Valley, which gained attention. Early life and education
Born in Miami, Florida, Ross was raised in Key Biscayne, Florida to a Jewish family. His mother, Abby, is a psychologist, and his father David is a lawyer. He has an older brother and sister. Ross created his first website via America Online at the age of 10. By middle school, an interest in Sim City led him to piece together a couple of rudimentary videogames. He attended high school in Miami at Gulliver Preparatory School, graduating in 2003 while simultaneously working for Mozilla, based in California.",0
410,"Olaf Hagerup (29 September 1889 – 2 March 1961) was a Danish botanist. He studied botany at the University of Copenhagen from 1911 under the professors Eugenius Warming, Christen C. Raunkiær, L. Kolderup Rosenvinge og W. Johannsen. He took his Ph.D. from the same university in 1930. From 1934 to 1960, he was superintendent at the Botanical Museum of the University of Copenhagen. Hagerup’s scientific works concern evolution, polyploidy and pollination, among other things. He showed that the tetraploid Empetrum hermaphroditum is a separate species from the diploid Empetrum nigrum. He thereby initiated the use of chromosome numbers in systematic botany, a field later known as cytotaxonomy. He put forward the hypothesis that the ploidy level is an important factor in the distribution and ecology of plant species. In contrast, another of his scientific ideas has been disproven by later modern research – the idea of a direct ancestry of the centrosperms (approximately equal to Caryophyllales) from the gymnospermous Gnetophyta and, hence, two separate evolutionary lineages within the flowering plants. Many of Hagerup’s studies were concerned with plant species of the Ericaceae, Empetraceae and related families, or ’’Bicornes’’ as they were known in the Wettstein system.",0
1119," is a Serbian politician who served as the Minister of Foreign Affairs from 2012 to 2013. She was also a member of parliament for several terms, representing various constituencies in Serbia and Montenegro. Prior to her political career, she worked at the United Nations Development Programme (UNDP), where she held positions such as Director-General's Special Representative on Disability Rights and Accessibility.
    ��urić is known for advocating for women's rights and gender equality during her time in government. She has also been a vocal critic of corruption, particularly within the Serbian political system. In 2013, she was awarded an honorary doctorate from the University of Belgrade Faculty of Law.",1
879,"Strand Street is one of the main streets in the central business district of Cape Town, South Africa. It runs northwest-southeast through the centre from Green Point to Woodstock, passing the Golden Acre shopping centre, the Cape Town railway station, the Lutheran Church in Strand Street, the Koopmans-de Wet House, and the Castle of Good Hope. Originally, in the vicinity of the Castle, Strand Street ran along the Table Bay shore - ""strand"" being the Dutch and Afrikaans word for ""beach"" - but land reclamation to create the Foreshore and the modern Port of Cape Town has moved the shoreline about a kilometre to the northeast. East of the city centre, Strand Street passes under the N2 freeway, to which it is connected by ramps. It continues as New Market Street and then Albert Street, eventually becoming Voortrekker Road, the original road route from Cape Town to Bellville and the interior. West of the centre it becomes High Level Road to Sea Point.",0
1040," for the United States Navy during World War II. It served as a minesweeper and escort ship, protecting convoys of troops and supplies in the Pacific Theater. The vessel played a crucial role in several major battles, including the Battle of Leyte Gulf and Operation Magic Carpet. After the war ended, USS Project (AM–278) was decommissioned on November 30, 1946, but it remained active until its scrapping in 1959.",1
